ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2024,01,43769,1,0056,1,7,202401437691005611,18,2,1,1,1,2, ,1,65,1,1,8,3,1958,1, , , , , , , , , , , , , , , ,6121,141,2, ,3,2,1,1,6,7,6,5,5,6,5,40, ,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,125, , , , ,1917, , ,2042,2042,2042,1,1,108.459477107116
2024,01,43769,1,0056,1,7,202401437691005612,18,2,2,2,1,1, ,2,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , 
2024,01,43786,1,0030,1,5,202301437861003011,18,1,1,1,1,2, ,1,35,1,1,23,2,1988,1, , , , , , , , , , , , , , , ,9412,5610,4, ,2,1,1,2,12,12,12,12,12,12,12,84, ,84,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,1,122.328670810569
2024,01,43786,1,0030,1,5,202301437861003012,18,1,2,2,1,2, ,2,28,2,2,19,3,1995,1, , , , , , , , , , , , , , , ,3314,5610,2, ,2,1,1,2,12,12,12,12,12,12,12,84, ,84,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, ,303, , , , ,1400, , ,1703,1703,1703,1,2,61.3693727599788
2024,01,43786,1,0030,1,5,202301437861003013,18,1,3,3,1,2, ,2,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2024,01,43786,1,0030,1,5,202301437861003014,18,1,4,3,1,2, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2024,01,43786,1,0032,1,5,202301437861003211,18,1,1,1,1,2, ,1,86,1,1,20,2,1937,1, , , , , , , , , , , , , , , ,6114,150,2, ,3,2,1,3,4,4,4,4,4,4,4,28, ,28,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, ,150, , , , ,2409, , ,2559,2559,2559,1,1,73.508335091828
2024,01,43786,1,0032,1,5,202301437861003212,18,1,2,2,1,2, ,2,83,2,2,28,12,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,1, ,1,2,2,2,1,1,10,7,4, , , , , , , , , , , , ,1, ,123.275497102527
2024,01,43786,1,0032,1,5,202301437861003213,18,1,3,3,1,2, ,1,45,3,3,25,7,1978,1, , , , , , , , , , , , , , , ,9211,150,4, ,3,2,1,3,8,8,8,8,8,8,8,56, ,56,1, ,1,1,1, , , , , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,9,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,1,73.508335091828
2024,01,43786,1,0032,1,5,202301437861003215,18,1,4,3,1,2, ,1,60,4,4,15,10,1963,1, , , , , , , , , , , , , , , ,9211,150,4, ,3,2,1,3,0,4,4,4,4,4,0,20, ,20,1, ,1,1,1, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,1,113.828576596713
